Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
2,0,Unfurnished,2,1,Ready to Move,36,9.0,1
2,0,Unfurnished,2,4,Ready to Move,58,3.0,4
2,0,Semi-Furnished,2,4,Ready to Move,25,9.0,4
2,1,Semi-Furnished,2,1,Ready to Move,36,4.0,4
3,2,Furnished,3,15,Ready to Move,200,2.0,15
3,0,Furnished,2,1,Ready to Move,48,6.0,4
3,2,Semi-Furnished,2,1,Ready to Move,85,7.0,1
2,0,Unfurnished,2,1,Under Construction,449,5.0,4
3,0,Unfurnished,3,1,Ready to Move,325,9.0,4
3,2,Semi-Furnished,3,1,Ready to Move,325,9.0,4
2,1,Semi-Furnished,2,1,Under Construction,33,4.0,4
2,1,Semi-Furnished,2,1,Ready to Move,30,9.0,1
3,1,Semi-Furnished,3,1,Ready to Move,425,9.0,1
3,2,Semi-Furnished,2,2,Ready to Move,145,3.0,2
3,2,Semi-Furnished,2,1,Ready to Move,80,7.0,1
3,2,Semi-Furnished,2,1,Ready to Move,72,7.0,1
2,1,Semi-Furnished,2,1,Ready to Move,35,6.0,4
3,2,Semi-Furnished,4,10,Ready to Move,550,4.0,10
2,1,Semi-Furnished,2,1,Ready to Move,24,5.0,1
3,2,Semi-Furnished,4,14,Ready to Move,471,6.0,14
3,1,Semi-Furnished,3,0,Ready to Move,600,9.0,0
2,1,Semi-Furnished,2,4,Ready to Move,45,6.0,4
3,2,Semi-Furnished,3,1,Ready to Move,700,10.0,1
2,1,Semi-Furnished,2,2,Ready to Move,32,10.0,2
3,0,Unfurnished,2,2,Ready to Move,50,9.0,2
3,1,Semi-Furnished,2,1,Ready to Move,45,9.0,1
3,2,Semi-Furnished,2,3,Ready to Move,85,7.0,3
3,1,Semi-Furnished,3,1,Ready to Move,65,5.0,1
3,2,Semi-Furnished,2,1,Ready to Move,96,7.0,1
2,1,Semi-Furnished,2,4,Ready to Move,55,3.0,4
3,0,Semi-Furnished,2,1,Ready to Move,47,9.0,1
3,2,Furnished,3,3,Ready to Move,275,2.0,3
3,1,Semi-Furnished,2,2,Ready to Move,62,6.0,2
3,2,Semi-Furnished,2,0,Ready to Move,158,6.0,0
3,2,Semi-Furnished,2,5,Ready to Move,168,6.0,5
3,2,Semi-Furnished,3,3,Ready to Move,180,7.0,3
3,2,Semi-Furnished,3,7,Ready to Move,190,5.0,7
2,1,Semi-Furnished,2,1,Ready to Move,40,7.0,1
3,2,Semi-Furnished,2,6,Ready to Move,180,9.0,6
3,1,Semi-Furnished,2,2,Ready to Move,65,9.0,2
3,2,Semi-Furnished,2,1,Ready to Move,82,7.0,1
